,Dataset,Dataset Indices,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,Rotation,Flare,Ear (bin),Ear
246,SONICOM,38,1.58825,0.900999,1.66668,2.09915,6.24858,2.96023,0.73,1.01,0.93,0.16,5.337333423534588,29.887154701791175,1.0,Right
36,HUTUBS,62,1.7191,0.9265,1.8507,2.2303,6.1746,3.0439,0.38,0.89,1.07,0.27,14.3947,20.4438,0.0,Left
114,SONICOM,65,1.36784,0.985845,1.64651,1.43191,5.75449,2.52507,0.6,1.04,1.12,0.32,3.0445976699279753,30.042385307272298,0.0,Left
24,HUTUBS,44,1.7432,0.9449,1.9092,2.1059,5.9406,3.1855,0.84,1.22,1.32,0.24,13.9533,19.4855,0.0,Left
232,SONICOM,22,1.93559,0.803161,1.60971,2.25178,6.9494,3.65465,0.53,1.07,1.13,0.36,15.734472805390965,26.920868095578207,1.0,Right
289,SONICOM,95,1.60617,0.766447,1.65422,1.84591,5.98662,2.75243,0.65,0.96,1.04,0.35,15.188596314624217,37.034151550863136,1.0,Right
190,HUTUBS,63,1.4559,1.0391,1.7505,1.395,5.0187,2.6798,0.46,1.04,1.3,0.21,5.459,28.4195,1.0,Right
280,SONICOM,80,1.65788,0.94211,1.91613,1.39178,6.01903,3.37912,0.81,1.19,0.97,0.41,15.390155012582538,26.39005095131645,1.0,Right
166,HUTUBS,19,1.8683,0.9928,1.8561,2.1116,6.2772,3.1131,0.86,1.28,1.33,0.34,9.9889,18.947,1.0,Right
162,HUTUBS,10,1.9617,1.2107,1.8514,2.0998,6.9543,3.2059,0.78,1.36,1.2,0.4,14.5116,11.2187,1.0,Right
260,SONICOM,56,1.68968,1.12229,1.49786,1.42932,5.64739,2.69262,0.65,1.16,0.96,0.29,13.159724831166045,25.485321835268106,1.0,Right
184,HUTUBS,57,1.8687,0.9566,2.1588,2.2802,5.8426,3.0988,0.64,1.15,1.21,0.27,0.4532,29.9207,1.0,Right
187,HUTUBS,60,1.9683,0.9585,1.8731,2.0463,6.0661,2.7975,0.74,0.94,1.24,0.23,10.8585,22.9023,1.0,Right
194,HUTUBS,69,1.8338,1.0162,1.4433,2.2483,6.3716,3.1785,0.59,1.25,1.25,0.28,8.3413,40.0684,1.0,Right
32,HUTUBS,58,1.6789,0.9564,2.0382,2.2215,6.9696,3.1055,0.57,1.39,1.4,0.33,17.1233,27.0741,0.0,Left
168,HUTUBS,21,1.7081,1.1124,1.6562,1.9364,6.0202,2.8871,0.47,0.95,1.06,0.34,14.7783,20.1608,1.0,Right
292,SONICOM,98,1.32308,0.742259,1.43621,1.2177,5.35183,2.5827,0.63,0.73,0.66,0.22,7.767870497374974,34.261318882358644,1.0,Right
90,SONICOM,35,1.47892,0.851814,1.47892,1.41938,6.08672,2.66712,0.54,1.14,1.21,0.18,11.236021114764823,35.774671915343,0.0,Left
143,SONICOM,103,1.51193,0.7362111,1.7516,1.4121,5.45628,2.72062,0.6,0.93,0.96,0.36,15.547647427152981,19.198388133797657,0.0,Left
73,SONICOM,15,1.67262,1.13216,1.24853,1.14834,6.17541,2.61866,0.66,1.05,1.03,0.28,3.4739372260444306,45.40162216739729,0.0,Left
259,SONICOM,55,1.26727,0.656059,1.15206,1.37456,5.86189,2.32158,0.56,0.77,0.9,0.42,7.665624525595879,32.84458429965514,1.0,Right
68,SONICOM,9,1.74563,0.822826,1.6244,2.12649,6.31557,3.05712,0.78,1.19,1.1,0.26,16.684012655191456,37.584385826345745,0.0,Left
81,SONICOM,24,1.75985,0.831733,1.80556,2.17337,6.7732,2.96177,0.74,1.07,1.19,0.26,14.485559486157435,30.652772953225497,0.0,Left
286,SONICOM,89,1.73586,0.88553,1.67352,1.55448,6.81488,2.93119,0.59,1.14,1.16,0.19,9.880175527749214,21.39757742124475,1.0,Right
14,HUTUBS,20,1.9693,0.8674,1.6619,2.332,6.4315,2.7251,0.66,1.03,1.05,0.35,12.1239,21.1125,0.0,Left
295,SONICOM,102,1.3636,0.792641,1.34994,1.0852,5.36041,2.43243,0.2,0.63,0.41,0.25,11.595036042902299,32.53672522132154,1.0,Right
106,SONICOM,55,1.35768,0.997187,1.21714,1.45615,5.60816,2.48837,0.41,0.62,0.68,0.44,7.743489694620953,34.83384642357094,0.0,Left
160,HUTUBS,8,1.8736,0.9986,1.5884,2.3901,6.3849,3.0015,0.56,1.3,1.23,0.3,13.4111,39.6812,1.0,Right
1,HUTUBS,2,1.6519,0.7355,1.6866,2.1071,6.1078,2.8449,0.6,1.1,1.26,0.39,10.0731,14.428,0.0,Left
39,HUTUBS,67,2.0847,0.9929,1.5302,2.2808,6.1982,3.3811,0.65,1.13,1.02,0.28,9.2536,25.3869,0.0,Left
171,HUTUBS,30,1.6905,0.9409,1.5896,2.0519,6.1101,2.6356,0.43,0.98,1.1,0.31,17.9665,42.5755,1.0,Right
17,HUTUBS,29,1.8255,1.0835,1.7817,2.0098,6.0936,2.9337,0.58,0.92,1.03,0.29,14.954,22.7625,0.0,Left
271,SONICOM,71,1.46139,0.957302,1.56777,1.97991,5.94781,3.32997,0.4,0.85,0.76,0.3,7.804613687299482,27.835676634338046,1.0,Right
113,SONICOM,64,1.72801,0.873547,1.4662,1.21969,5.85933,2.60765,0.57,0.89,0.83,0.38,9.619918440688066,26.402999299445067,0.0,Left
281,SONICOM,81,1.853,0.97191,1.80136,1.90566,6.29333,2.85527,0.36,1.14,1.09,0.31,14.305705513351013,21.901638738164177,1.0,Right
290,SONICOM,96,1.73911,0.873557,1.25165,0.896966,6.573,2.60076,0.57,1.12,1.06,0.39,5.781959155552009,40.63113945858944,1.0,Right
100,SONICOM,46,2.025,1.123,1.34277,1.49227,6.74666,2.98414,0.52,1.12,1.12,0.25,18.082020747240907,26.93295771308549,0.0,Left
137,SONICOM,96,1.59493,0.785806,1.26143,0.89036,6.39826,2.69075,0.38,0.91,1.03,0.31,7.185967715431331,38.78894243493408,0.0,Left
124,SONICOM,77,1.58091,0.858559,1.69877,1.12994,6.35715,2.79302,0.59,1.09,1.03,0.32,9.946920489960693,29.728330468049062,0.0,Left
191,HUTUBS,66,1.9506,0.8917,1.3934,2.2939,6.5431,3.215,0.49,0.99,1.15,0.34,8.9512,31.9147,1.0,Right
266,SONICOM,64,1.65151,0.637884,1.85135,1.34821,5.98275,3.01973,0.63,0.96,0.87,0.38,0.3581948757692881,17.1771755310915,1.0,Right
226,SONICOM,15,1.67359,0.577562,1.58295,1.89089,6.33661,2.67496,0.66,1.03,1.14,0.35,4.710903371838321,31.014777002676304,1.0,Right
91,SONICOM,36,1.67547,0.8524,1.5193,1.96749,6.57346,2.8013,0.62,1.1,1.19,0.24,1.5154485555097745,22.222804549356066,0.0,Left
95,SONICOM,40,1.63913,0.798111,2.24501,1.95986,5.80658,3.24918,0.5,1.11,1.11,0.27,15.794510276880906,17.490990176291216,0.0,Left
216,SONICOM,3,1.65102,0.772738,1.34333,1.62135,6.20277,2.66273,0.57,1.21,1.27,0.38,12.178257045848065,27.72834130201204,1.0,Right
150,SONICOM,176,1.619,0.790498,1.42457,1.87864,6.00126,2.64497,0.46,0.98,0.92,0.26,6.831502672817467,34.85669660057104,0.0,Left
300,SONICOM,107,1.549,0.97621,1.82978,1.43427,6.24291,2.86051,0.57,1.1,1.01,0.31,11.38011575195721,18.214966349405973,1.0,Right
123,SONICOM,76,1.48217,0.752869,1.46928,1.68766,5.64089,2.723,0.29,0.88,0.89,0.31,8.378848553791315,43.09337017548628,0.0,Left
15,HUTUBS,21,1.594,0.9909,1.4832,1.839,6.0184,2.7466,0.47,1.0,1.1,0.34,16.0278,24.8924,0.0,Left
299,SONICOM,106,1.85532,0.884949,1.76809,1.74712,6.59091,2.82291,0.65,1.08,0.89,0.34,1.8111443342075504,39.651061458202534,1.0,Right
265,SONICOM,63,1.72029,0.997645,1.56955,1.36529,6.25602,2.75505,0.55,1.3,1.15,0.17,4.995178199048816,25.09683328431093,1.0,Right
127,SONICOM,80,1.6129,0.943541,1.97441,1.76573,6.07243,3.29533,0.68,1.37,1.1,0.54,13.618264593853299,20.981747726177087,0.0,Left
293,SONICOM,100,1.54174,0.915139,1.56678,1.76762,6.23664,2.7979,0.59,0.96,1.1,0.39,4.970536411627554,16.025489482526954,1.0,Right
35,HUTUBS,61,1.9962,1.1429,1.7523,2.0353,6.4656,3.4547,0.66,1.05,1.09,0.25,15.4084,18.7852,0.0,Left
153,HUTUBS,1,1.58,1.11,1.77,2.27,6.01,3.18,0.72,1.1,1.1,0.23,12.2154,25.2729,1.0,Right
